station_id,island,year,station_name,n_days,n_temp,n_prec,n_hr,n_wind,n_sol,n_pres,pct_temp.x,pct_prec.x,pct_hr,pct_wind,pct_sol,pct_pres,altitud,tmed_annual,tmin_annual,tmax_annual,prec_annual,hr_media_annual,hr_min_annual,hr_max_annual,velmedia_annual,racha_mean_annual,sol_annual,pres_min_annual,pres_max_annual,tropical_nights_annual,equatorial_nights_annual,torrid_nights_annual,warm_days_30,warm_days_35,pct_temp.y,pct_prec.y,use_for_annual
C018J,Lanzarote,2015,TÍAS,365,358,360,365,364,0,0,0.9808219178082191,0.9863013698630136,1,0.9972602739726028,0,0,376,18.49413407821229,15.1268156424581,21.85977653631285,165.5,73.36986301369863,55.62849162011173,92.8854748603352,6.025824175824176,12.55524861878453,,,,13,0,0,14,3,0.9808219178082191,0.9863013698630136,TRUE
C018J,Lanzarote,2016,TÍAS,366,365,365,366,366,0,0,0.9972677595628415,0.9972677595628415,1,1,0,0,376,18.375342465753423,15.06931506849315,21.68082191780822,199,76.06557377049181,58.62465753424657,94.17534246575343,6.054918032786885,12.354794520547944,,,,9,0,0,11,2,0.9972677595628415,0.9972677595628415,TRUE
C018J,Lanzarote,2017,TÍAS,364,362,364,364,364,0,0,0.9945054945054945,1,1,1,0,0,376,19.08950276243094,15.518508287292818,22.656629834254144,51.8,71.1456043956044,52.90633608815427,91.0909090909091,5.917032967032967,12.416758241758242,,,,15,3,0,20,3,0.9917808219178083,0.9972602739726028,TRUE
C018J,Lanzarote,2018,TÍAS,363,363,362,363,363,0,0,1,0.9972451790633609,1,1,0,0,376,17.85840220385675,14.720110192837465,20.99944903581267,214,77,59.66115702479339,94.68870523415978,6.338842975206612,12.924793388429752,,,,2,0,0,7,0,0.9945205479452055,0.9917808219178083,TRUE
C018J,Lanzarote,2019,TÍAS,362,361,362,361,362,0,0,0.9972375690607734,1,0.9972375690607734,1,0,0,376,18.58365650969529,14.920498614958449,22.253185595567867,85.7,73.98337950138504,55.24653739612188,93.38781163434903,6.458563535911602,12.755524861878452,,,,3,0,0,10,0,0.989041095890411,0.9917808219178083,TRUE
C018J,Lanzarote,2020,TÍAS,366,365,365,366,366,0,0,0.9972677595628415,0.9972677595628415,1,1,0,0,376,19.464931506849315,15.424931506849315,23.504383561643834,89.4,71.06830601092896,52.3013698630137,92.72602739726027,5.934153005464481,12.306849315068494,,,,9,1,0,27,2,0.9972677595628415,0.9972677595628415,TRUE
C018J,Lanzarote,2021,TÍAS,365,364,364,365,365,0,0,0.9972602739726028,0.9972602739726028,1,1,0,0,376,18.775549450549452,14.902472527472527,22.641758241758243,130.6,75.47123287671234,56.93131868131868,94.46428571428571,6.184931506849315,12.476164383561644,,,,5,1,0,19,4,0.9972602739726028,0.9972602739726028,TRUE
C018J,Lanzarote,2022,TÍAS,365,365,365,365,365,0,0,1,1,1,1,0,0,376,19.447123287671232,15.61917808219178,23.273150684931508,245.79999999999998,72.62465753424658,53.701369863013696,92.37260273972603,6.1158904109589045,12.544383561643835,,,,15,0,0,17,3,1,1,TRUE
C018J,Lanzarote,2023,TÍAS,364,363,344,364,364,0,0,0.9972527472527473,0.945054945054945,1,1,0,0,376,20.215977961432507,16.041322314049587,24.388429752066116,85.4,70.57967032967034,51.36088154269972,92.3305785123967,5.686813186813187,12.019505494505495,,,,32,3,0,39,8,0.9945205479452055,0.9424657534246575,TRUE
C018J,Lanzarote,2024,TÍAS,366,364,364,366,366,0,0,0.994535519125683,0.994535519125683,1,1,0,0,376,19.726923076923075,15.932692307692308,23.51565934065934,92,71.30327868852459,52.214285714285715,91.83516483516483,6.356010928961749,12.795901639344262,,,,9,0,0,16,0,0.994535519125683,0.994535519125683,TRUE
C018J,Lanzarote,2025,TÍAS,365,362,363,363,365,0,0,0.9917808219178083,0.9945205479452055,0.9945205479452055,1,0,0,376,19.188950276243094,15.382044198895027,22.996132596685083,189.8,77.34986225895317,59.0414364640884,95.38674033149171,6.05013698630137,12.376098901098901,,,,11,1,0,16,7,0.9917808219178083,0.9945205479452055,TRUE
