year,territory_code,units,value,indicator_id,territory_name,level
2018,ES,Porcentaje,57.51,ods_15_1_2_G,España,pais
2021,ES,Porcentaje,57.66,ods_15_1_2_G,España,pais
2015,ES70,Porcentaje,45.18,ods_15_1_2_G,Canarias,canarias
2018,ES70,Porcentaje,45.59,ods_15_1_2_G,Canarias,canarias
2021,ES70,Porcentaje,45.59,ods_15_1_2_G,Canarias,canarias
2014,ES,Hectáreas,4400309.38,ods_15_2_1_A,España,pais
2015,ES,Hectáreas,4611684.49,ods_15_2_1_A,España,pais
2016,ES,Hectáreas,4804161.96,ods_15_2_1_A,España,pais
2017,ES,Hectáreas,5124970.35,ods_15_2_1_A,España,pais
2018,ES,Hectáreas,5167697.4,ods_15_2_1_A,España,pais
2019,ES,Hectáreas,5527015.72,ods_15_2_1_A,España,pais
2020,ES,Hectáreas,5713414.12,ods_15_2_1_A,España,pais
2021,ES,Hectáreas,6108383.93,ods_15_2_1_A,España,pais
2022,ES,Hectáreas,6701415,ods_15_2_1_A,España,pais
2023,ES,Hectáreas,6741600,ods_15_2_1_A,España,pais
2014,ES70,Hectáreas,0,ods_15_2_1_A,Canarias,canarias
2015,ES70,Hectáreas,0,ods_15_2_1_A,Canarias,canarias
2016,ES70,Hectáreas,0,ods_15_2_1_A,Canarias,canarias
2017,ES70,Hectáreas,0,ods_15_2_1_A,Canarias,canarias
2018,ES70,Hectáreas,0,ods_15_2_1_A,Canarias,canarias
2019,ES70,Hectáreas,0,ods_15_2_1_A,Canarias,canarias
2020,ES70,Hectáreas,4888.85,ods_15_2_1_A,Canarias,canarias
2021,ES70,Hectáreas,4888.85,ods_15_2_1_A,Canarias,canarias
2022,ES70,Hectáreas,8829,ods_15_2_1_A,Canarias,canarias
2014,ES,Porcentaje,15.86,ods_15_2_1_B,España,pais
2015,ES,Porcentaje,16.58,ods_15_2_1_B,España,pais
2016,ES,Porcentaje,17.28,ods_15_2_1_B,España,pais
2017,ES,Porcentaje,18.33,ods_15_2_1_B,España,pais
2018,ES,Porcentaje,18.48,ods_15_2_1_B,España,pais
2019,ES,Porcentaje,19.76,ods_15_2_1_B,España,pais
2020,ES,Porcentaje,20.34,ods_15_2_1_B,España,pais
2021,ES,Porcentaje,22.2,ods_15_2_1_B,España,pais
2022,ES,Porcentaje,23.48,ods_15_2_1_B,España,pais
2023,ES,Porcentaje,23.62,ods_15_2_1_B,España,pais
2014,ES70,Porcentaje,0,ods_15_2_1_B,Canarias,canarias
2015,ES70,Porcentaje,0,ods_15_2_1_B,Canarias,canarias
2016,ES70,Porcentaje,0,ods_15_2_1_B,Canarias,canarias
2017,ES70,Porcentaje,0,ods_15_2_1_B,Canarias,canarias
2018,ES70,Porcentaje,0,ods_15_2_1_B,Canarias,canarias
2019,ES70,Porcentaje,0,ods_15_2_1_B,Canarias,canarias
2020,ES70,Porcentaje,0.85,ods_15_2_1_B,Canarias,canarias
2021,ES70,Porcentaje,0.85,ods_15_2_1_B,Canarias,canarias
2022,ES70,Porcentaje,1.53,ods_15_2_1_B,Canarias,canarias
2023,ES70,Porcentaje,1.53,ods_15_2_1_B,Canarias,canarias
2015,ES,Porcentaje,36.48,ods_15_4_1_A,España,pais
2018,ES,Porcentaje,36.56,ods_15_4_1_A,España,pais
2021,ES,Porcentaje,36.56,ods_15_4_1_A,España,pais
2015,ES70,Porcentaje,61.01,ods_15_4_1_A,Canarias,canarias
2018,ES70,Porcentaje,61.01,ods_15_4_1_A,Canarias,canarias
2021,ES70,Porcentaje,61.01,ods_15_4_1_A,Canarias,canarias
2015,ES,Porcentaje,12.67,ods_15_4_1_B,España,pais
2018,ES,Porcentaje,12.47,ods_15_4_1_B,España,pais
2021,ES,Porcentaje,12.42,ods_15_4_1_B,España,pais
2015,ES70,Porcentaje,17.83,ods_15_4_1_B,Canarias,canarias
2018,ES70,Porcentaje,17.85,ods_15_4_1_B,Canarias,canarias
2021,ES70,Porcentaje,17.85,ods_15_4_1_B,Canarias,canarias
2015,ES,Porcentaje,46.39,ods_15_4_1_C,España,pais
2018,ES,Porcentaje,46.18,ods_15_4_1_C,España,pais
2021,ES,Porcentaje,46.21,ods_15_4_1_C,España,pais
2015,ES70,Porcentaje,82.51,ods_15_4_1_C,Canarias,canarias
2018,ES70,Porcentaje,82.48,ods_15_4_1_C,Canarias,canarias
2021,ES70,Porcentaje,82.48,ods_15_4_1_C,Canarias,canarias
2015,ES,Porcentaje,41.7,ods_15_4_1_D,España,pais
2018,ES,Porcentaje,41.86,ods_15_4_1_D,España,pais
2021,ES,Porcentaje,41.9,ods_15_4_1_D,España,pais
2015,ES70,Porcentaje,59.08,ods_15_4_1_D,Canarias,canarias
2018,ES70,Porcentaje,59.17,ods_15_4_1_D,Canarias,canarias
2021,ES70,Porcentaje,59.17,ods_15_4_1_D,Canarias,canarias
2015,ES,Porcentaje,82.51,ods_15_4_1_E,España,pais
2018,ES,Porcentaje,81.65,ods_15_4_1_E,España,pais
2021,ES,Porcentaje,81.64,ods_15_4_1_E,España,pais
2015,ES70,Porcentaje,77.07,ods_15_4_1_E,Canarias,canarias
2018,ES70,Porcentaje,77.06,ods_15_4_1_E,Canarias,canarias
2021,ES70,Porcentaje,77.06,ods_15_4_1_E,Canarias,canarias
2015,ES,Porcentaje,10.3,ods_15_4_1_F,España,pais
2018,ES,Porcentaje,11.23,ods_15_4_1_F,España,pais
2021,ES,Porcentaje,11.06,ods_15_4_1_F,España,pais
2015,ES70,Porcentaje,7.44,ods_15_4_1_F,Canarias,canarias
2018,ES70,Porcentaje,7.49,ods_15_4_1_F,Canarias,canarias
2021,ES70,Porcentaje,7.49,ods_15_4_1_F,Canarias,canarias
2015,ES,Porcentaje,48.49,ods_15_4_1_G,España,pais
2018,ES,Porcentaje,46.85,ods_15_4_1_G,España,pais
2021,ES,Porcentaje,46.85,ods_15_4_1_G,España,pais
2015,ES70,Porcentaje,63.13,ods_15_4_1_G,Canarias,canarias
2018,ES70,Porcentaje,63.93,ods_15_4_1_G,Canarias,canarias
2021,ES70,Porcentaje,63.93,ods_15_4_1_G,Canarias,canarias
2015,ES,Porcentaje,97.17,ods_15_4_2,España,pais
2018,ES,Porcentaje,96.89,ods_15_4_2,España,pais
2021,ES,Porcentaje,96.62,ods_15_4_2,España,pais
2015,ES70,Porcentaje,88.73,ods_15_4_2,Canarias,canarias
2018,ES70,Porcentaje,88.74,ods_15_4_2,Canarias,canarias
2021,ES70,Porcentaje,88.55,ods_15_4_2,Canarias,canarias
2013,ES,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,España,pais
2014,ES,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,España,pais
2015,ES,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,España,pais
2016,ES,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,España,pais
2017,ES,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,España,pais
2018,ES,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,España,pais
2019,ES,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,España,pais
2020,ES,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,España,pais
2021,ES,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,España,pais
2022,ES,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,España,pais
2023,ES,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,España,pais
2024,ES,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,España,pais
2013,ES70,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,Canarias,canarias
2014,ES70,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,Canarias,canarias
2015,ES70,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,Canarias,canarias
2016,ES70,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,Canarias,canarias
2017,ES70,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,Canarias,canarias
2018,ES70,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,Canarias,canarias
2019,ES70,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,Canarias,canarias
2020,ES70,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,Canarias,canarias
2021,ES70,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,Canarias,canarias
2022,ES70,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,Canarias,canarias
2023,ES70,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,Canarias,canarias
2024,ES70,"Lógica (1=Sí, 0=No)",1,ods_15_8_1,Canarias,canarias
