year,territory_code,units,value,indicator_id,territory_name,level
2014,ES707,Porcentaje,10.84,ods_7_2_1,La Palma,isla
2015,ES707,Porcentaje,11.1,ods_7_2_1,La Palma,isla
2016,ES707,Porcentaje,11.48,ods_7_2_1,La Palma,isla
2017,ES707,Porcentaje,10.7,ods_7_2_1,La Palma,isla
2018,ES707,Porcentaje,11.1,ods_7_2_1,La Palma,isla
2019,ES707,Porcentaje,11.13,ods_7_2_1,La Palma,isla
2020,ES707,Porcentaje,10.2,ods_7_2_1,La Palma,isla
2021,ES707,Porcentaje,10.38,ods_7_2_1,La Palma,isla
2022,ES707,Porcentaje,8.2,ods_7_2_1,La Palma,isla
2023,ES707,Porcentaje,7.64,ods_7_2_1,La Palma,isla
2010,ES708,Porcentaje,3.87,ods_7_2_1,Lanzarote,isla
2011,ES708,Porcentaje,4.41,ods_7_2_1,Lanzarote,isla
2012,ES708,Porcentaje,4.81,ods_7_2_1,Lanzarote,isla
2013,ES708,Porcentaje,4.67,ods_7_2_1,Lanzarote,isla
2014,ES708,Porcentaje,4.57,ods_7_2_1,Lanzarote,isla
2015,ES708,Porcentaje,4.11,ods_7_2_1,Lanzarote,isla
2016,ES708,Porcentaje,4.08,ods_7_2_1,Lanzarote,isla
2017,ES708,Porcentaje,3.79,ods_7_2_1,Lanzarote,isla
2018,ES708,Porcentaje,7.48,ods_7_2_1,Lanzarote,isla
2019,ES708,Porcentaje,9.25,ods_7_2_1,Lanzarote,isla
2020,ES708,Porcentaje,9.86,ods_7_2_1,Lanzarote,isla
2021,ES708,Porcentaje,11.24,ods_7_2_1,Lanzarote,isla
2022,ES708,Porcentaje,10.28,ods_7_2_1,Lanzarote,isla
2023,ES708,Porcentaje,8.74,ods_7_2_1,Lanzarote,isla
2010,ES709,Porcentaje,6.25,ods_7_2_1,Tenerife,isla
2011,ES709,Porcentaje,7.11,ods_7_2_1,Tenerife,isla
2012,ES709,Porcentaje,7.34,ods_7_2_1,Tenerife,isla
2013,ES709,Porcentaje,7.99,ods_7_2_1,Tenerife,isla
2014,ES709,Porcentaje,8.04,ods_7_2_1,Tenerife,isla
2015,ES709,Porcentaje,7.95,ods_7_2_1,Tenerife,isla
2016,ES709,Porcentaje,7.77,ods_7_2_1,Tenerife,isla
2017,ES709,Porcentaje,8.08,ods_7_2_1,Tenerife,isla
2018,ES709,Porcentaje,10.08,ods_7_2_1,Tenerife,isla
2019,ES709,Porcentaje,19.63,ods_7_2_1,Tenerife,isla
2020,ES709,Porcentaje,21.08,ods_7_2_1,Tenerife,isla
2021,ES709,Porcentaje,21.88,ods_7_2_1,Tenerife,isla
2022,ES709,Porcentaje,19.89,ods_7_2_1,Tenerife,isla
2023,ES709,Porcentaje,19.68,ods_7_2_1,Tenerife,isla
2011,ES,Toneladas equivalentes de petróleo por millón de euros,21.7,ods_7_3_1,España,pais
2012,ES,Toneladas equivalentes de petróleo por millón de euros,22.1,ods_7_3_1,España,pais
2013,ES,Toneladas equivalentes de petróleo por millón de euros,21.89,ods_7_3_1,España,pais
2014,ES,Toneladas equivalentes de petróleo por millón de euros,21.35,ods_7_3_1,España,pais
2015,ES,Toneladas equivalentes de petróleo por millón de euros,20.96,ods_7_3_1,España,pais
2016,ES,Toneladas equivalentes de petróleo por millón de euros,20.49,ods_7_3_1,España,pais
2017,ES,Toneladas equivalentes de petróleo por millón de euros,20.14,ods_7_3_1,España,pais
2018,ES,Toneladas equivalentes de petróleo por millón de euros,19.76,ods_7_3_1,España,pais
2019,ES,Toneladas equivalentes de petróleo por millón de euros,19.07,ods_7_3_1,España,pais
2020,ES,Toneladas equivalentes de petróleo por millón de euros,20.29,ods_7_3_1,España,pais
2021,ES,Toneladas equivalentes de petróleo por millón de euros,19.56,ods_7_3_1,España,pais
2022,ES,Toneladas equivalentes de petróleo por millón de euros,18.06,ods_7_3_1,España,pais
2023,ES,Toneladas equivalentes de petróleo por millón de euros,16.15,ods_7_3_1,España,pais
2011,ES70,Toneladas equivalentes de petróleo por millón de euros,18.75,ods_7_3_1,Canarias,canarias
2012,ES70,Toneladas equivalentes de petróleo por millón de euros,19.31,ods_7_3_1,Canarias,canarias
2013,ES70,Toneladas equivalentes de petróleo por millón de euros,18.87,ods_7_3_1,Canarias,canarias
2014,ES70,Toneladas equivalentes de petróleo por millón de euros,18.61,ods_7_3_1,Canarias,canarias
2015,ES70,Toneladas equivalentes de petróleo por millón de euros,18.29,ods_7_3_1,Canarias,canarias
2016,ES70,Toneladas equivalentes de petróleo por millón de euros,18.03,ods_7_3_1,Canarias,canarias
2017,ES70,Toneladas equivalentes de petróleo por millón de euros,17.74,ods_7_3_1,Canarias,canarias
2018,ES70,Toneladas equivalentes de petróleo por millón de euros,17.19,ods_7_3_1,Canarias,canarias
2019,ES70,Toneladas equivalentes de petróleo por millón de euros,16.96,ods_7_3_1,Canarias,canarias
2020,ES70,Toneladas equivalentes de petróleo por millón de euros,18.75,ods_7_3_1,Canarias,canarias
2021,ES70,Toneladas equivalentes de petróleo por millón de euros,17.55,ods_7_3_1,Canarias,canarias
2022,ES70,Toneladas equivalentes de petróleo por millón de euros,16.92,ods_7_3_1,Canarias,canarias
2010,ES,Por 100.000 habitantes,0.15,ods_13_1_1,España,pais
2011,ES,Por 100.000 habitantes,0.11,ods_13_1_1,España,pais
2012,ES,Por 100.000 habitantes,0.12,ods_13_1_1,España,pais
2013,ES,Por 100.000 habitantes,0.1,ods_13_1_1,España,pais
2014,ES,Por 100.000 habitantes,0.06,ods_13_1_1,España,pais
2015,ES,Por 100.000 habitantes,0.17,ods_13_1_1,España,pais
2016,ES,Por 100.000 habitantes,0.12,ods_13_1_1,España,pais
2017,ES,Por 100.000 habitantes,0.12,ods_13_1_1,España,pais
2018,ES,Por 100.000 habitantes,0.22,ods_13_1_1,España,pais
2019,ES,Por 100.000 habitantes,0.16,ods_13_1_1,España,pais
2020,ES,Por 100.000 habitantes,0.12,ods_13_1_1,España,pais
2021,ES,Por 100.000 habitantes,0.13,ods_13_1_1,España,pais
2022,ES,Por 100.000 habitantes,0.32,ods_13_1_1,España,pais
2023,ES,Por 100.000 habitantes,0.22,ods_13_1_1,España,pais
2024,ES,Por 100.000 habitantes,0.7,ods_13_1_1,España,pais
2010,ES70,Por 100.000 habitantes,0.05,ods_13_1_1,Canarias,canarias
2011,ES70,Por 100.000 habitantes,0.05,ods_13_1_1,Canarias,canarias
2012,ES70,Por 100.000 habitantes,0,ods_13_1_1,Canarias,canarias
2013,ES70,Por 100.000 habitantes,0.09,ods_13_1_1,Canarias,canarias
2014,ES70,Por 100.000 habitantes,0.05,ods_13_1_1,Canarias,canarias
