indicativo,nombre,island,year,n_days,n_temp,n_prec,pct_temp,pct_prec,tmed_annual,tmin_annual,tmax_annual,prec_annual,tropical_nights_annual,equatorial_nights_annual,torrid_nights_annual,warm_days_30,warm_days_35,use_for_annual,baseline_tmed,baseline_tmin,baseline_tmax,anom_tmed,anom_tmin,anom_tmax
C018J,TÍAS,Lanzarote,2015,365,358,360,0.9808219178082191,0.9863013698630136,18.49413407821229,15.1268156424581,21.85977653631285,165.5,13,0,0,14,3,TRUE,19.020044870874305,15.332535340290049,22.706307008863625,-0.5259107926620139,-0.20571969783194888,-0.846530472550775
C018J,TÍAS,Lanzarote,2016,366,365,365,0.9972677595628415,0.9972677595628415,18.375342465753423,15.06931506849315,21.68082191780822,199,9,0,0,11,2,TRUE,19.020044870874305,15.332535340290049,22.706307008863625,-0.6447024051208814,-0.26322027179689833,-1.0254850910554048
C018J,TÍAS,Lanzarote,2017,364,362,364,0.9945054945054945,1,19.08950276243094,15.518508287292818,22.656629834254144,51.8,15,3,0,20,3,TRUE,19.020044870874305,15.332535340290049,22.706307008863625,0.06945789155663462,0.18597294700276912,-0.04967717460948151
C018J,TÍAS,Lanzarote,2018,363,363,362,1,0.9972451790633609,17.85840220385675,14.720110192837465,20.99944903581267,214,2,0,0,7,0,TRUE,19.020044870874305,15.332535340290049,22.706307008863625,-1.1616426670175564,-0.6124251474525835,-1.7068579730509548
C018J,TÍAS,Lanzarote,2019,362,361,362,0.9972375690607734,1,18.58365650969529,14.920498614958449,22.253185595567867,85.7,3,0,0,10,0,TRUE,19.020044870874305,15.332535340290049,22.706307008863625,-0.4363883611790129,-0.41203672533159974,-0.45312141329575795
C018J,TÍAS,Lanzarote,2020,366,365,365,0.9972677595628415,0.9972677595628415,19.464931506849315,15.424931506849315,23.504383561643834,89.4,9,1,0,27,2,TRUE,19.020044870874305,15.332535340290049,22.706307008863625,0.4448866359750099,0.09239616655926675,0.7980765527802092
C018J,TÍAS,Lanzarote,2021,365,364,364,0.9972602739726028,0.9972602739726028,18.775549450549452,14.902472527472527,22.641758241758243,130.6,5,1,0,19,4,TRUE,19.020044870874305,15.332535340290049,22.706307008863625,-0.24449542032485283,-0.43006281281752123,-0.06454876710538215
C018J,TÍAS,Lanzarote,2022,365,365,365,1,1,19.447123287671232,15.61917808219178,23.273150684931508,245.79999999999998,15,0,0,17,3,TRUE,19.020044870874305,15.332535340290049,22.706307008863625,0.4270784167969275,0.28664274190173167,0.566843676067883
C018J,TÍAS,Lanzarote,2023,364,363,344,0.9972527472527473,0.945054945054945,20.215977961432507,16.041322314049587,24.388429752066116,85.4,32,3,0,39,8,TRUE,19.020044870874305,15.332535340290049,22.706307008863625,1.1959330905582028,0.7087869737595387,1.6821227432024912
C018J,TÍAS,Lanzarote,2024,366,364,364,0.994535519125683,0.994535519125683,19.726923076923075,15.932692307692308,23.51565934065934,92,9,0,0,16,0,TRUE,19.020044870874305,15.332535340290049,22.706307008863625,0.7068782060487706,0.6001569674022598,0.809352331795715
C018J,TÍAS,Lanzarote,2025,365,362,363,0.9917808219178083,0.9945205479452055,19.188950276243094,15.382044198895027,22.996132596685083,189.8,11,1,0,16,7,TRUE,19.020044870874305,15.332535340290049,22.706307008863625,0.16890540536878973,0.049508858604978556,0.28982558782145773
C019V,YAIZA PLAYA BLANCA,Lanzarote,2015,363,313,304,0.8622589531680441,0.837465564738292,21.51405750798722,18.74888178913738,24.284664536741214,113.3,126,0,0,13,1,TRUE,21.19445879412735,18.333869158157032,24.057254342365912,0.3195987138598717,0.41501263098034613,0.2274101943753024
C019V,YAIZA PLAYA BLANCA,Lanzarote,2016,366,365,365,0.9972677595628415,0.9972677595628415,20.766849315068495,18.013150684931507,23.51698630136986,122,106,0,0,8,1,TRUE,21.19445879412735,18.333869158157032,24.057254342365912,-0.42760947905885516,-0.3207184732255257,-0.5402680409960503
C019V,YAIZA PLAYA BLANCA,Lanzarote,2017,365,364,362,0.9972602739726028,0.9917808219178083,21.244230769230768,18.370604395604396,24.120054945054946,27.8,135,0,0,16,0,TRUE,21.19445879412735,18.333869158157032,24.057254342365912,0.04977197510341824,0.03673523744736329,0.06280060268903398
C019V,YAIZA PLAYA BLANCA,Lanzarote,2018,365,365,365,1,1,20.266849315068495,17.525205479452055,23.011780821917807,49.199999999999996,94,0,0,1,0,TRUE,21.19445879412735,18.333869158157032,24.057254342365912,-0.9276094790588552,-0.8086636787049777,-1.0454735204481054
C019V,YAIZA PLAYA BLANCA,Lanzarote,2019,362,362,362,1,1,20.73646408839779,17.87790055248619,23.603591160220994,15.200000000000001,106,0,0,4,0,TRUE,21.19445879412735,18.333869158157032,24.057254342365912,-0.45799470572956125,-0.45596860567084363,-0.4536631821449184
C019V,YAIZA PLAYA BLANCA,Lanzarote,2020,366,366,366,1,1,21.346448087431693,18.43032786885246,24.266120218579236,23.2,134,0,0,11,0,TRUE,21.19445879412735,18.333869158157032,24.057254342365912,0.15198929330434297,0.09645871069542622,0.20886587621332353
C019V,YAIZA PLAYA BLANCA,Lanzarote,2021,355,351,351,0.9887323943661972,0.9887323943661972,20.811680911680913,17.900284900284902,23.72022792022792,67.8,94,1,0,6,1,TRUE,21.19445879412735,18.333869158157032,24.057254342365912,-0.38277788244643673,-0.4335842578721305,-0.33702642213799194
