Year,Units,Territorio,Value
2015,Porcentaje,ES,82.51
2018,Porcentaje,ES,81.65
2021,Porcentaje,ES,81.64
2015,Porcentaje,ES70,77.07
2018,Porcentaje,ES70,77.06
2021,Porcentaje,ES70,77.06
