Year,Units,Territorio,Value
2011,Toneladas equivalentes de petróleo por millón de euros,ES,21.70
2012,Toneladas equivalentes de petróleo por millón de euros,ES,22.10
2013,Toneladas equivalentes de petróleo por millón de euros,ES,21.89
2014,Toneladas equivalentes de petróleo por millón de euros,ES,21.35
2015,Toneladas equivalentes de petróleo por millón de euros,ES,20.96
2016,Toneladas equivalentes de petróleo por millón de euros,ES,20.49
2017,Toneladas equivalentes de petróleo por millón de euros,ES,20.14
2018,Toneladas equivalentes de petróleo por millón de euros,ES,19.76
2019,Toneladas equivalentes de petróleo por millón de euros,ES,19.07
2020,Toneladas equivalentes de petróleo por millón de euros,ES,20.29
2021,Toneladas equivalentes de petróleo por millón de euros,ES,19.56
2022,Toneladas equivalentes de petróleo por millón de euros,ES,18.06
2023,Toneladas equivalentes de petróleo por millón de euros,ES,16.15
2011,Toneladas equivalentes de petróleo por millón de euros,ES70,18.75
2012,Toneladas equivalentes de petróleo por millón de euros,ES70,19.31
2013,Toneladas equivalentes de petróleo por millón de euros,ES70,18.87
2014,Toneladas equivalentes de petróleo por millón de euros,ES70,18.61
2015,Toneladas equivalentes de petróleo por millón de euros,ES70,18.29
2016,Toneladas equivalentes de petróleo por millón de euros,ES70,18.03
2017,Toneladas equivalentes de petróleo por millón de euros,ES70,17.74
2018,Toneladas equivalentes de petróleo por millón de euros,ES70,17.19
2019,Toneladas equivalentes de petróleo por millón de euros,ES70,16.96
2020,Toneladas equivalentes de petróleo por millón de euros,ES70,18.75
2021,Toneladas equivalentes de petróleo por millón de euros,ES70,17.55
2022,Toneladas equivalentes de petróleo por millón de euros,ES70,16.92
