Year,Units,Territorio,Value
2015,Porcentaje,ES,12.67
2018,Porcentaje,ES,12.47
2021,Porcentaje,ES,12.42
2015,Porcentaje,ES70,17.83
2018,Porcentaje,ES70,17.85
2021,Porcentaje,ES70,17.85
