Year,Units,Territorio,Value
2015,Porcentaje,ES,58.92
2018,Porcentaje,ES,57.51
2021,Porcentaje,ES,57.66
2015,Porcentaje,ES70,45.18
2018,Porcentaje,ES70,45.59
2021,Porcentaje,ES70,45.59
