Year,Units,Territorio,Value
2010,Porcentaje,ES,36.32
2011,Porcentaje,ES,36.31
2012,Porcentaje,ES,36.35
2013,Porcentaje,ES,36.35
2014,Porcentaje,ES,36.35
2015,Porcentaje,ES,36.36
2016,Porcentaje,ES,36.32
2017,Porcentaje,ES,36.49
2018,Porcentaje,ES,36.50
2019,Porcentaje,ES,36.50
2020,Porcentaje,ES,36.81
2021,Porcentaje,ES,38.02
2022,Porcentaje,ES,38.02
2010,Porcentaje,ES70,17.74
2011,Porcentaje,ES70,17.75
2012,Porcentaje,ES70,17.74
2013,Porcentaje,ES70,17.74
2014,Porcentaje,ES70,17.75
2015,Porcentaje,ES70,17.75
2016,Porcentaje,ES70,17.75
2017,Porcentaje,ES70,17.75
2018,Porcentaje,ES70,18.39
2019,Porcentaje,ES70,18.39
2020,Porcentaje,ES70,18.39
2021,Porcentaje,ES70,18.46
