Year,Units,Territorio,Value
2015,Porcentaje,ES,6.27
2018,Porcentaje,ES,6.79
2021,Porcentaje,ES,6.64
2015,Porcentaje,ES70,4.51
2018,Porcentaje,ES70,4.49
2021,Porcentaje,ES70,4.49
