Year,Units,Territorio,Value
2015,Porcentaje,ES,74.17
2018,Porcentaje,ES,73.22
2021,Porcentaje,ES,73.20
2015,Porcentaje,ES70,63.79
2018,Porcentaje,ES70,63.57
2021,Porcentaje,ES70,63.57
