Year,Units,Territorio,Value
2011,Porcentaje,ES,31.02
2012,Porcentaje,ES,30.14
2013,Porcentaje,ES,40.16
2014,Porcentaje,ES,40.48
2015,Porcentaje,ES,35.18
2016,Porcentaje,ES,38.61
2017,Porcentaje,ES,32.26
2018,Porcentaje,ES,38.45
2019,Porcentaje,ES,37.54
2020,Porcentaje,ES,44.00
2021,Porcentaje,ES,46.71
2022,Porcentaje,ES,42.22
2023,Porcentaje,ES,50.34
2024,Porcentaje,ES,56.82
2010,Porcentaje,ES70,6.01
2011,Porcentaje,ES70,6.73
2012,Porcentaje,ES70,7.05
2013,Porcentaje,ES70,7.65
2014,Porcentaje,ES70,7.96
2015,Porcentaje,ES70,7.96
2016,Porcentaje,ES70,7.92
2017,Porcentaje,ES70,7.83
2018,Porcentaje,ES70,10.51
2019,Porcentaje,ES70,16.37
2020,Porcentaje,ES70,17.52
2021,Porcentaje,ES70,20.00
2022,Porcentaje,ES70,20.13
2023,Porcentaje,ES70,19.50
2010,Porcentaje,ES703,0.73
2011,Porcentaje,ES703,0.80
2012,Porcentaje,ES703,0.56
2013,Porcentaje,ES703,0.58
2014,Porcentaje,ES703,2.64
2015,Porcentaje,ES703,20.11
2016,Porcentaje,ES703,40.75
2017,Porcentaje,ES703,46.65
2018,Porcentaje,ES703,56.54
2019,Porcentaje,ES703,54.37
2020,Porcentaje,ES703,41.84
2021,Porcentaje,ES703,48.28
2022,Porcentaje,ES703,48.46
2023,Porcentaje,ES703,34.89
2010,Porcentaje,ES704,5.48
2011,Porcentaje,ES704,5.86
2012,Porcentaje,ES704,6.30
2013,Porcentaje,ES704,6.93
2014,Porcentaje,ES704,6.96
2015,Porcentaje,ES704,6.13
2016,Porcentaje,ES704,6.01
2017,Porcentaje,ES704,5.28
2018,Porcentaje,ES704,5.22
2019,Porcentaje,ES704,11.73
2020,Porcentaje,ES704,12.46
2021,Porcentaje,ES704,18.33
2022,Porcentaje,ES704,19.80
2023,Porcentaje,ES704,18.38
2010,Porcentaje,ES705,6.61
2011,Porcentaje,ES705,7.22
2012,Porcentaje,ES705,7.66
2013,Porcentaje,ES705,8.21
2014,Porcentaje,ES705,8.87
2015,Porcentaje,ES705,9.01
2016,Porcentaje,ES705,8.84
2017,Porcentaje,ES705,8.55
2018,Porcentaje,ES705,12.40
2019,Porcentaje,ES705,15.98
2020,Porcentaje,ES705,17.08
2021,Porcentaje,ES705,21.00
2022,Porcentaje,ES705,23.75
2023,Porcentaje,ES705,23.02
2010,Porcentaje,ES706,0.76
2011,Porcentaje,ES706,0.84
2012,Porcentaje,ES706,0.84
2013,Porcentaje,ES706,0.88
2014,Porcentaje,ES706,1.14
2015,Porcentaje,ES706,1.10
2016,Porcentaje,ES706,1.28
2017,Porcentaje,ES706,0.70
2018,Porcentaje,ES706,0.27
2019,Porcentaje,ES706,0.21
2020,Porcentaje,ES706,0.15
2021,Porcentaje,ES706,0.18
2022,Porcentaje,ES706,0.01
2023,Porcentaje,ES706,7.19
2010,Porcentaje,ES707,4.81
2011,Porcentaje,ES707,6.87
2012,Porcentaje,ES707,6.48
2013,Porcentaje,ES707,9.85
2014,Porcentaje,ES707,10.84
2015,Porcentaje,ES707,11.10
2016,Porcentaje,ES707,11.48
2017,Porcentaje,ES707,10.70
2018,Porcentaje,ES707,11.10
2019,Porcentaje,ES707,11.13
2020,Porcentaje,ES707,10.20
2021,Porcentaje,ES707,10.38
2022,Porcentaje,ES707,8.20
2023,Porcentaje,ES707,7.64
2010,Porcentaje,ES708,3.87
2011,Porcentaje,ES708,4.41
2012,Porcentaje,ES708,4.81
2013,Porcentaje,ES708,4.67
2014,Porcentaje,ES708,4.57
2015,Porcentaje,ES708,4.11
2016,Porcentaje,ES708,4.08
2017,Porcentaje,ES708,3.79
2018,Porcentaje,ES708,7.48
2019,Porcentaje,ES708,9.25
2020,Porcentaje,ES708,9.86
2021,Porcentaje,ES708,11.24
2022,Porcentaje,ES708,10.28
2023,Porcentaje,ES708,8.74
2010,Porcentaje,ES709,6.25
2011,Porcentaje,ES709,7.11
2012,Porcentaje,ES709,7.34
2013,Porcentaje,ES709,7.99
2014,Porcentaje,ES709,8.04
2015,Porcentaje,ES709,7.95
2016,Porcentaje,ES709,7.77
2017,Porcentaje,ES709,8.08
2018,Porcentaje,ES709,10.08
2019,Porcentaje,ES709,19.63
2020,Porcentaje,ES709,21.08
2021,Porcentaje,ES709,21.88
2022,Porcentaje,ES709,19.89
2023,Porcentaje,ES709,19.68
