Year,Units,Territorio,Value
2015,Porcentaje,ES,37.30
2018,Porcentaje,ES,37.24
2021,Porcentaje,ES,37.30
2015,Porcentaje,ES70,49.78
2018,Porcentaje,ES70,49.97
2021,Porcentaje,ES70,49.97
