Year,Units,Territorio,Value
2013,"Lógica (1=Sí, 0=No)",ES,1.00
2014,"Lógica (1=Sí, 0=No)",ES,1.00
2015,"Lógica (1=Sí, 0=No)",ES,1.00
2016,"Lógica (1=Sí, 0=No)",ES,1.00
2017,"Lógica (1=Sí, 0=No)",ES,1.00
2018,"Lógica (1=Sí, 0=No)",ES,1.00
2019,"Lógica (1=Sí, 0=No)",ES,1.00
2020,"Lógica (1=Sí, 0=No)",ES,1.00
2021,"Lógica (1=Sí, 0=No)",ES,1.00
2022,"Lógica (1=Sí, 0=No)",ES,1.00
2023,"Lógica (1=Sí, 0=No)",ES,1.00
2024,"Lógica (1=Sí, 0=No)",ES,1.00
2013,"Lógica (1=Sí, 0=No)",ES70,1.00
2014,"Lógica (1=Sí, 0=No)",ES70,1.00
2015,"Lógica (1=Sí, 0=No)",ES70,1.00
2016,"Lógica (1=Sí, 0=No)",ES70,1.00
2017,"Lógica (1=Sí, 0=No)",ES70,1.00
2018,"Lógica (1=Sí, 0=No)",ES70,1.00
2019,"Lógica (1=Sí, 0=No)",ES70,1.00
2020,"Lógica (1=Sí, 0=No)",ES70,1.00
2021,"Lógica (1=Sí, 0=No)",ES70,1.00
2022,"Lógica (1=Sí, 0=No)",ES70,1.00
2023,"Lógica (1=Sí, 0=No)",ES70,1.00
2024,"Lógica (1=Sí, 0=No)",ES70,1.00
