Year,Units,Territorio,Value
2015,Porcentaje,ES,41.70
2018,Porcentaje,ES,41.86
2021,Porcentaje,ES,41.90
2015,Porcentaje,ES70,59.08
2018,Porcentaje,ES70,59.17
2021,Porcentaje,ES70,59.17
