Year,Units,Territorio,Value
2015,Porcentaje,ES,46.39
2018,Porcentaje,ES,46.18
2021,Porcentaje,ES,46.21
2015,Porcentaje,ES70,82.51
2018,Porcentaje,ES70,82.48
2021,Porcentaje,ES70,82.48
