Year,Units,Territorio,Value
2010,Kilogramos de CO2 equivalente,ES,0.29
2011,Kilogramos de CO2 equivalente,ES,0.29
2012,Kilogramos de CO2 equivalente,ES,0.30
2013,Kilogramos de CO2 equivalente,ES,0.27
2014,Kilogramos de CO2 equivalente,ES,0.27
2015,Kilogramos de CO2 equivalente,ES,0.27
2016,Kilogramos de CO2 equivalente,ES,0.25
2017,Kilogramos de CO2 equivalente,ES,0.25
2018,Kilogramos de CO2 equivalente,ES,0.24
2019,Kilogramos de CO2 equivalente,ES,0.22
2020,Kilogramos de CO2 equivalente,ES,0.22
2021,Kilogramos de CO2 equivalente,ES,0.22
2022,Kilogramos de CO2 equivalente,ES,0.19
2010,Kilogramos de CO2 equivalente,ES70,0.39
2011,Kilogramos de CO2 equivalente,ES70,0.36
2012,Kilogramos de CO2 equivalente,ES70,0.37
2013,Kilogramos de CO2 equivalente,ES70,0.35
2014,Kilogramos de CO2 equivalente,ES70,0.34
2015,Kilogramos de CO2 equivalente,ES70,0.32
2016,Kilogramos de CO2 equivalente,ES70,0.32
2017,Kilogramos de CO2 equivalente,ES70,0.32
2018,Kilogramos de CO2 equivalente,ES70,0.31
2019,Kilogramos de CO2 equivalente,ES70,0.30
2020,Kilogramos de CO2 equivalente,ES70,0.31
2021,Kilogramos de CO2 equivalente,ES70,0.31
