Year,Units,Territorio,Value
2015,Porcentaje,ES,10.30
2018,Porcentaje,ES,11.23
2021,Porcentaje,ES,11.06
2015,Porcentaje,ES70,7.44
2018,Porcentaje,ES70,7.49
2021,Porcentaje,ES70,7.49
