Year,Units,Territorio,Value
2015,Porcentaje,ES,48.49
2018,Porcentaje,ES,46.85
2021,Porcentaje,ES,46.85
2015,Porcentaje,ES70,63.13
2018,Porcentaje,ES70,63.93
2021,Porcentaje,ES70,63.93
