Year,Units,Territorio,Value
2010,Por 100.000 habitantes,ES,0.15
2011,Por 100.000 habitantes,ES,0.11
2012,Por 100.000 habitantes,ES,0.12
2013,Por 100.000 habitantes,ES,0.10
2014,Por 100.000 habitantes,ES,0.06
2015,Por 100.000 habitantes,ES,0.17
2016,Por 100.000 habitantes,ES,0.12
2017,Por 100.000 habitantes,ES,0.12
2018,Por 100.000 habitantes,ES,0.22
2019,Por 100.000 habitantes,ES,0.16
2020,Por 100.000 habitantes,ES,0.12
2021,Por 100.000 habitantes,ES,0.13
2022,Por 100.000 habitantes,ES,0.32
2023,Por 100.000 habitantes,ES,0.22
2024,Por 100.000 habitantes,ES,0.70
2010,Por 100.000 habitantes,ES70,0.05
2011,Por 100.000 habitantes,ES70,0.05
2012,Por 100.000 habitantes,ES70,0.00
2013,Por 100.000 habitantes,ES70,0.09
2014,Por 100.000 habitantes,ES70,0.05
2015,Por 100.000 habitantes,ES70,0.05
2016,Por 100.000 habitantes,ES70,0.05
2017,Por 100.000 habitantes,ES70,0.05
2018,Por 100.000 habitantes,ES70,0.00
2019,Por 100.000 habitantes,ES70,0.09
2020,Por 100.000 habitantes,ES70,0.09
2021,Por 100.000 habitantes,ES70,0.22
2022,Por 100.000 habitantes,ES70,0.18
2023,Por 100.000 habitantes,ES70,0.36
