Year,Units,Territorio,Value
2015,Porcentaje,ES,40.10
2018,Porcentaje,ES,39.82
2021,Porcentaje,ES,39.88
2015,Porcentaje,ES70,82.29
2018,Porcentaje,ES70,82.26
2021,Porcentaje,ES70,82.26
