Year,Units,Territorio,Value
2015,Porcentaje,ES,11.93
2018,Porcentaje,ES,11.98
2021,Porcentaje,ES,11.98
2015,Porcentaje,ES70,14.57
2018,Porcentaje,ES70,14.52
2021,Porcentaje,ES70,14.52
