Year,Units,Territorio,Value
2010,pH,ES,8.083
2011,pH,ES,8.081
2012,pH,ES,8.080
2013,pH,ES,8.078
2014,pH,ES,8.074
2015,pH,ES,8.072
2016,pH,ES,8.070
2017,pH,ES,8.066
2018,pH,ES,8.066
2019,pH,ES,8.064
2020,pH,ES,8.059
2021,pH,ES,8.059
2022,pH,ES,8.056
2023,pH,ES,8.051
2024,pH,ES,8.052
2010,pH,ES70,8.079
2011,pH,ES70,8.078
2012,pH,ES70,8.076
2013,pH,ES70,8.075
2014,pH,ES70,8.072
2015,pH,ES70,8.069
2016,pH,ES70,8.068
2017,pH,ES70,8.063
2018,pH,ES70,8.065
2019,pH,ES70,8.062
2020,pH,ES70,8.057
2021,pH,ES70,8.057
2022,pH,ES70,8.055
2023,pH,ES70,8.048
2024,pH,ES70,8.051
