Year,Units,Territorio,Value
2010,Toneladas de CO2 equivalente,ES,6.67
2011,Toneladas de CO2 equivalente,ES,6.66
2012,Toneladas de CO2 equivalente,ES,6.56
2013,Toneladas de CO2 equivalente,ES,6.02
2014,Toneladas de CO2 equivalente,ES,6.03
2015,Toneladas de CO2 equivalente,ES,6.23
2016,Toneladas de CO2 equivalente,ES,5.96
2017,Toneladas de CO2 equivalente,ES,6.22
2018,Toneladas de CO2 equivalente,ES,6.05
2019,Toneladas de CO2 equivalente,ES,5.62
2020,Toneladas de CO2 equivalente,ES,4.82
2021,Toneladas de CO2 equivalente,ES,5.16
2022,Toneladas de CO2 equivalente,ES,5.16
2010,Toneladas de CO2 equivalente,ES70,7.71
2011,Toneladas de CO2 equivalente,ES70,7.03
2012,Toneladas de CO2 equivalente,ES70,7.06
2013,Toneladas de CO2 equivalente,ES70,6.52
2014,Toneladas de CO2 equivalente,ES70,6.35
2015,Toneladas de CO2 equivalente,ES70,6.23
2016,Toneladas de CO2 equivalente,ES70,6.42
2017,Toneladas de CO2 equivalente,ES70,6.53
2018,Toneladas de CO2 equivalente,ES70,6.36
2019,Toneladas de CO2 equivalente,ES70,6.23
2020,Toneladas de CO2 equivalente,ES70,5.20
2021,Toneladas de CO2 equivalente,ES70,5.66
