.model,mean_rmse,mean_mae,mean_mape
arima,0.4272992492264206,0.35740606512690865,1.8043663988694418
ets,0.47275498409420885,0.4035174587841801,2.0447540659285064
tslm,0.5427863703173006,0.49779053273335094,2.5933799200047103
naive,0.8425979250968392,0.7930560391891495,4.086061064488422
arima_010_const,1.0597842472917458,0.9949470559709084,5.1191129104834685
drift,1.0597842472917556,0.9949470559717997,5.119112910487907
