term,estimate,std.error,statistic,p.value
(Intercept),0.23663798702944422,0.3666990205938474,0.6453193865809158,0.5214528166088936
ods_7_2_1_z,-0.33760297383982757,0.18111203852502786,-1.864055954475794,0.06775386148955286
year_c,0.13341049463655583,0.028774704016030012,4.63638112705641,2.288079751728058e-5
islandFuerteventura,-0.9054471550623107,0.48070761743184814,-1.8835714730288824,0.06501249447998991
islandGran Canaria,-0.8326788473034634,0.43541511096021285,-1.9123793050433464,0.061138063537312805
islandLa Gomera,-1.1339898815994542,0.6013544191318314,-1.8857263628935872,0.06471564103179167
islandLa Palma,-0.9189266797306181,0.49525400260986746,-1.8554654276151212,0.06899121680162987
islandLanzarote,-1.0212925723057706,0.5250749935500547,-1.9450413461908886,0.056984772127101443
islandTenerife,-0.8532931665982307,0.4398214213374709,-1.9400900574679076,0.05759842952917611
