term,estimate,std.error,statistic,p.value
(Intercept),83.87014374719088,9.81067132319803,8.548868979931472,1.2958781893622257e-11
ods_7_2_1_z,-10.0653162811208,4.845474306874219,-2.0772613048099857,0.0425480753650228
year_c,3.403648324862531,0.7698388805795281,4.42124762820539,4.7802387632901635e-5
islandFuerteventura,-9.728254941455234,12.860859103316104,-0.7564234133431145,0.45268292231669893
islandGran Canaria,0.9042668038339317,11.64910267790369,0.07762544711269201,0.9384129172996012
islandLa Gomera,-41.649458147194,16.0886455199713,-2.588748573986127,0.012352127074736513
islandLa Palma,-31.261385151870545,13.250033319519563,-2.359343889786087,0.021953326959972486
islandLanzarote,-47.37249403048915,14.047864576806408,-3.372220295225728,0.0013845626691153974
islandTenerife,-71.05250052597927,11.766989174544092,-6.038290634250726,1.4804574759750502e-7
