station_id,indsinop,station_name,province,altitude,lon,lat,island
C628B,,"LA ALDEA DE SAN NICOLÁS, TASARTE",LAS PALMAS,318,-15.77,27.908888899999997,Gran Canaria
C629Q,,"MOGÁN, PUERTO RICO",LAS PALMAS,10,-15.7111111,27.779999999999998,Gran Canaria
C629X,60036,"MOGÁN, PUERTO",LAS PALMAS,10,-15.764166700000004,27.816388900000003,Gran Canaria
C635B,,"SAN BARTOLOME TIRAJANA, LAS TIRAJANAS",LAS PALMAS,960,-15.5741667,27.919999999999998,Gran Canaria
C639M,,"MASPALOMAS, C. INSULAR TURISMO",LAS PALMAS,45,-15.575555600000001,27.7580556,Gran Canaria
C639U,,"SAN BARTOLOME TIRAJANA, EL MATORRAL",LAS PALMAS,41,-15.453055599999999,27.8125,Gran Canaria
C648C,,AGÜIMES,LAS PALMAS,306,-15.4538889,27.9025,Gran Canaria
C648N,,"TELDE, CENTRO FORESTAL DORAMAS",LAS PALMAS,344,-15.457777800000002,27.9875,Gran Canaria
C649I,60030,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,-15.395277799999999,27.917777799999996,Gran Canaria
C649R,,"TELDE, MELENARA",LAS PALMAS,9,-15.3777778,27.986666699999997,Gran Canaria
C656V,,TEROR,LAS PALMAS,683,-15.5472222,28.0752778,Gran Canaria
C658L,,LAS PALMAS DE G.C. (TAFIRA CMT),LAS PALMAS,269,-15.450833300000001,28.075,Gran Canaria
C658X,,"LAS PALMAS DE GRAN CANARIA, TAFIRA",LAS PALMAS,269,-15.453333299999995,28.0780556,Gran Canaria
C659H,60029,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,-15.4161111,28.0897222,Gran Canaria
C659M,60032,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,-15.421388900000002,28.113055599999996,Gran Canaria
C665T,,VALLESECO,LAS PALMAS,900,-15.565555599999998,28.0655556,Gran Canaria
C668V,,AGAETE - SUERTE ALTA,LAS PALMAS,352,-15.674999999999999,28.0944444,Gran Canaria
C669B,,ARUCAS,LAS PALMAS,86,-15.506666699999997,28.141666700000002,Gran Canaria
C689E,60037,MASPALOMAS,LAS PALMAS,6,-15.595833299999999,27.7358333,Gran Canaria
C839I,,TEGUISE,LAS PALMAS,10,-13.5019444,29.2319444,Lanzarote
C839X,60045,LA GRACIOSA,LAS PALMAS,19,-13.510277799999999,29.229722199999998,La Graciosa
C916Q,,"EL PINAR, DEPÓSITO",STA. CRUZ DE TENERIFE,948,-17.978055599999998,27.7188889,El Hierro
C917E,,"EL PINAR, LA DEHESA",STA. CRUZ DE TENERIFE,713,-18.115,27.725277799999997,El Hierro
C919K,,TACORON-LAPILLAS-TORTUGA,STA. CRUZ DE TENERIFE,98,-18.018611099999998,27.6652778,El Hierro
C925F,,"SAN ANDRÉS, VALVERDE",STA. CRUZ DE TENERIFE,1070,-17.960277800000004,27.7688889,El Hierro
C928I,,VALVERDE,STA. CRUZ DE TENERIFE,670,-17.9194444,27.8108333,El Hierro
C929I,60001,HIERRO AEROPUERTO,SANTA CRUZ DE TENERIFE,32,-17.888888899999998,27.818888899999997,El Hierro
C939T,,"FRONTERA, SABINOSA",STA. CRUZ DE TENERIFE,20,-18.107499999999998,27.756388899999997,El Hierro
