island,station_id,station_name,mean_dist_km,min_nn_km,max_dist_km,medoid_score
El Hierro,C925F,"SAN ANDRÉS, VALVERDE",10.730074313145616,5.8152168237333015,16.012715624907912,64.3804458788737
El Hierro,C916Q,"EL PINAR, DEPÓSITO",10.97008872056149,5.8152168237333015,14.152913654520031,65.82053232336894
El Hierro,C928I,VALVERDE,13.4817455529252,3.142094764579738,21.496503546781273,80.89047331755121
El Hierro,C919K,TACORON-LAPILLAS-TORTUGA,14.198191745729337,7.167081405693224,21.305727443212103,85.18915047437602
El Hierro,C939T,"FRONTERA, SABINOSA",14.513642941585335,3.5286828638036742,22.64621918695623,87.08185764951202
El Hierro,C917E,"EL PINAR, LA DEHESA",15.130135861601985,3.5286828638036742,24.599990640508416,90.78081516961191
El Hierro,C929I,HIERRO AEROPUERTO,15.801289066885857,3.142094764579738,24.599990640508416,94.80773440131514
Fuerteventura,C248E,ANTIGUA,28.64252138263427,15.59646789614951,52.590885530395944,114.57008553053709
Fuerteventura,C249I,FUERTEVENTURA AEROPUERTO,32.819138310897,15.59646789614951,65.41281651906627,131.276553243588
Fuerteventura,C239N,"TUINEJE,PUERTO GRAN TARAJAL",34.14160145700836,23.084974939841,45.6357830037756,136.56640582803345
Fuerteventura,C258K,LA OLIVA,40.95348263511318,19.76492569666117,75.11546467586533,163.81393054045273
Fuerteventura,C229J,PÁJARA,57.615617869508334,37.343304752705805,75.11546467586533,230.46247147803334
Gran Canaria,C611E,VEGA DE SAN MATEO,17.018997974733747,3.664149681555961,26.704810222894114,442.4939473430774
Gran Canaria,C612F,"TEJEDA, CRUZ DE TEJEDA",17.429020460399883,2.127596036140519,30.034593157004032,453.15453197039693
Gran Canaria,C614H,TEJEDA,17.578573006926213,2.127596036140519,28.777361350124696,457.0428981800816
Gran Canaria,C623I,"SAN BARTOLOME TIRAJANA, CUEVAS DEL PINAR",17.88849422086436,2.6207705468165554,27.086745919753476,465.1008497424734
Gran Canaria,C635B,"SAN BARTOLOME TIRAJANA, LAS TIRAJANAS",17.94784144019467,2.6207705468165554,26.133688823420556,466.6438774450614
Gran Canaria,C665T,VALLESECO,19.181622561558665,2.0988852108307587,36.64732139034976,498.72218660052533
Gran Canaria,C656V,TEROR,19.709753732656665,2.0988852108307587,37.90604625802153,512.4535970490733
Gran Canaria,C648N,"TELDE, CENTRO FORESTAL DORAMAS",19.778783301956125,7.867445448147219,35.61660609111927,514.2483658508593
Gran Canaria,C648C,AGÜIMES,21.578758314179844,6.010865617556675,37.05116681449736,561.0477161686758
Gran Canaria,C625O,"SAN BARTOLOME TIRAJANA, LOMO PEDRO ALFONSO",21.716563957029837,8.917185303056476,35.89570315669918,564.6306628827758
Gran Canaria,C658L,LAS PALMAS DE G.C. (TAFIRA CMT),21.97425900656958,0.4182321148238153,42.082062276844304,571.330734170809
Gran Canaria,C658X,"LAS PALMAS DE GRAN CANARIA, TAFIRA",22.009418591234354,0.4182321148238153,42.134103621006894,572.2448833720932
Gran Canaria,C668V,AGAETE - SUERTE ALTA,23.418461879281306,3.784037893860429,40.48324600564579,608.880008861314
Gran Canaria,C649I,GRAN CANARIA AEROPUERTO,24.39129340720631,6.010865617556675,42.19164029907731,634.173628587364
Gran Canaria,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",24.603529954688995,2.636333335069723,45.7065707081849,639.6917788219138
Gran Canaria,C649R,"TELDE, MELENARA",24.65020883275721,7.823008017041898,42.91259972896346,640.9054296516875
Gran Canaria,C669B,ARUCAS,24.918770706862283,8.364184637223678,45.805336474672956,647.8880383784194
Gran Canaria,C619X,AGAETE,25.591837588503594,3.784037893860429,42.06972386774669,665.3877773010935
Gran Canaria,C628B,"LA ALDEA DE SAN NICOLÁS, TASARTE",25.72927177825456,10.26329710962635,41.064388704190634,668.9610662346186
Gran Canaria,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",25.734909346386427,2.636333335069723,47.0827738709942,669.1076430060472
Gran Canaria,C639U,"SAN BARTOLOME TIRAJANA, EL MATORRAL",26.655353736698487,9.970137614689602,41.18567904707602,693.0391971541607
Gran Canaria,C619Y,LA ALDEA DE SAN NICOLÁS,27.842292532321444,0.6289697974251182,42.285868137195955,723.8996058403575
Gran Canaria,C639M,"MASPALOMAS, C. INSULAR TURISMO",27.974189716306444,3.1707750887401347,43.03268351635725,727.3289326239676
Gran Canaria,C619I,LA ALDEA DE SAN NICOLÁS,28.337241919497306,0.6289697974251182,42.91259972896346,736.7682899069299
Gran Canaria,C629Q,"MOGÁN, PUERTO RICO",29.0025276775662,6.600546916837456,46.62185514334506,754.0657196167211
Gran Canaria,C629X,"MOGÁN, PUERTO",29.297420326166847,6.600546916837456,47.0827738709942,761.732928480338
Gran Canaria,C689E,MASPALOMAS,29.98363143000101,3.1707750887401347,45.805336474672956,779.5744171800263
La Gomera,C314Z,"VALLEHERMOSO, ALTO IGUALERO",9.142049438885095,6.89058608000436,13.675892315661267,54.85229663331058
La Gomera,C328W,HERMIGUA,10.991930376075837,2.5119572039619316,16.395630950613278,65.95158225645503
La Gomera,C317B,AGULO,11.61323331318458,2.5119572039619316,16.59089505826635,69.67939987910748
La Gomera,C316I,ARURE,12.402670210395788,6.89058608000436,20.463579304919953,74.41602126237473
La Gomera,C329B,"LA GOMERA, AEROPUERTO",12.740139820811763,9.155619880996525,16.319778436624105,76.44083892487058
La Gomera,C319W,"VALLEHERMOSO, DAMA",13.110326975957923,8.116071938434875,19.572175671514273,78.66196185574753
La Gomera,C329Z,SAN SEBASTIÁN DE LA GOMERA,15.168559756754304,11.542592126877805,20.463579304919953,91.01135854052582
La Graciosa,C839X,LA GRACIOSA,,,,0
La Palma,C126A,EL PASO,13.855912479036245,8.49803847975544,22.08582481995695,96.99138735325373
La Palma,C117Z,TIJARAFE,14.76314620372948,8.49803847975544,26.099952332755855,103.34202342610637
La Palma,C101A,ROQUE DE LOS MUCHACHOS,16.285139631662712,8.837939991702036,33.77870125652599,113.995977421639
La Palma,C129Z,TAZACORTE,16.461957530639772,8.86080275842811,26.567289984551003,115.23370271447841
La Palma,C139E,LA PALMA AEROPUERTO,18.724357342233322,9.866358907401054,26.61026833839616,131.07050139563327
La Palma,C117A,PUNTAGORDA,20.048008506735624,8.837939991702036,36.71521590483942,140.33605954714935
La Palma,C148F,SAN ANDRÉS Y SAUCES,22.39050716731166,12.304069046982443,39.20589109080474,156.7335501711816
La Palma,C129V,FUENCALIENTE,28.08262606180499,17.22386590189193,39.20589109080474,196.57838243263495
Lanzarote,C048W,TINAJO,19.036426703590706,8.117103672298166,27.270448895777243,95.18213351795353
Lanzarote,C018J,TÍAS,19.52878097687371,8.117103672298166,34.357266189835364,97.64390488436854
Lanzarote,C029O,LANZAROTE AEROPUERTO,20.628338642339074,8.98970056412087,32.47233391738688,103.14169321169537
Lanzarote,C038N,HARÍA,25.819845767849245,9.867982495809455,46.157987864435775,129.09922883924622
Lanzarote,C839I,TEGUISE,31.30237081562126,9.867982495809455,52.54382257929736,156.5118540781063
Lanzarote,C019V,YAIZA PLAYA BLANCA,33.560778001403904,18.706356239190647,52.54382257929736,167.8038900070195
Tenerife,C430E,IZAÑA,20.44466226591146,5.916148505249683,38.54458096846344,858.6758151682814
Tenerife,C456P,CITFAGRO_70_BENIJO,20.50277215763271,1.3442316852850082,38.180460162615745,861.1164306205739
Tenerife,C455M,CITFAGRO_87_AGUAMANSA,20.55930699511961,4.579258175645032,37.472591906480204,863.4908937950236
Tenerife,C456R,CITFAGRO_69_SUERTE,20.719357933664963,1.3442316852850082,37.08985678988123,870.2130332139284
Tenerife,C458U,CITFAGRO_71_PALOB,21.16220306578625,3.17905126302783,40.524971131511236,888.8125287630226
Tenerife,C423R,CITFAGRO_90_PICACHO,22.51734086554091,3.1039083505194633,47.0036182194481,945.7283163527181
Tenerife,C453I,CITFAGRO_88_GAITERO,22.53577870972025,4.416071980221376,44.10960819946594,946.5027058082505
Tenerife,C459Z,PUERTO DE LA CRUZ,22.63097701359991,5.056269235906344,41.142211472444956,950.5010345711962
Tenerife,C468X,SAN JUAN DE LA RAMBLA,22.64089980188724,4.708697212377192,44.71889004438669,950.917791679264
Tenerife,C436I,CITFAGRO_54_TOPONEGRO,22.867341012576265,2.4558224326114626,40.41621103013445,960.4283225282031
Tenerife,C438N,CANDELARIA,23.023397654845816,1.3264015024104827,43.20419153668576,966.9827015035241
Tenerife,C426R,CITFAGRO_09_HELECHO,23.28476860349421,3.1039083505194633,45.89747893108951,977.9602813467568
Tenerife,C436L,CITFAGRO_96_ARAYA,23.35226035334847,1.3264015024104827,44.39311839531021,980.7949348406357
Tenerife,C406G,"LA OROTAVA, CAÑADAS TEIDE",23.35980052412211,6.296597737821353,53.90897355894917,981.1116220131287
Tenerife,C437E,CITFAGRO_81_MENA,23.475579666269926,6.4308991405508396,38.65672220407314,985.9743459833369
Tenerife,C457I,LA VICTORIA DE ACENTEJO,23.63125973445229,2.310687872637447,46.49788662835884,992.5129088469962
Tenerife,C439J,GÜÍMAR,24.141508769895335,2.4558224326114626,42.05125161654903,1013.9433683356041
Tenerife,C457E,CITFAGRO_67_MATANZA,24.76146826340539,2.310687872637447,48.76642546692688,1039.9816670630264
Tenerife,C428T,ARICO,25.43700744841797,4.063706388088313,48.89866729277339,1068.3543128335548
Tenerife,C467I,CITFAGRO_73_REDON,25.598747025961643,2.0319648621371593,53.073796090529065,1075.147375090389
Tenerife,C456E,CITFAGRO_10_RAVELO,25.86037441884047,2.9253420686786704,50.80673097707769,1086.1357255912997
Tenerife,C412N,CITFAGRO_89_CHAVAO,26.278258867107688,6.067359380992369,60.07153892356503,1103.6868724185229
Tenerife,C422A,CITFAGRO_94_LOSTOPOS,26.447204613912948,3.8374708432230142,59.75416042641177,1110.7825937843438
Tenerife,C468I,CITFAGRO_98_ELDRAGO,26.711474122814383,2.0319648621371593,53.90342163952043,1121.881913158204
